budget,revenue,runtime,vote_average,vote_count,release_date,popularity,id
0,0,102,7.9,249,7/14/1994,6.778979,11104
0,0,113,6.8,29,9/21/1995,1.702639,37975
7000000,14702438,92,6.3,66,3/22/1996,5.579088,2074
17000000,0,95,4.4,105,10/26/1994,6.252377,27793
0,0,116,4.3,3,9/30/1994,0.406754,44284
0,0,87,0,0,1/1/1995,0.001178,290157
0,0,95,7,2,2/9/1996,0.699066,110972
0,0,99,5.6,9,1/1/1995,2.197439,32622
0,0,101,5.4,4,11/22/1995,0.637554,73067
50000000,9851610,95,5.1,45,10/13/1995,11.418917,11863
0,0,102,5.5,1,8/16/1995,0.291021,55475
0,0,87,0,0,8/1/1995,0.001838,124636
0,0,92,5.6,110,3/1/1996,5.184977,9101
0,0,97,6.5,2,9/8/1995,0.276401,123360
0,209935,86,3.8,2,9/15/1995,0.540436,5757
0,0,91,7.2,5,8/23/1995,0.370342,39428
0,0,122,0,0,8/1/1995,0.001205,124639
60000000,0,119,5.9,51,3/1/1996,3.402749,9302
31000000,185260553,117,6.7,303,3/8/1996,6.49968,11000
0,0,125,7,2,10/12/1995,0.918504,249882
0,0,98,6.3,23,8/9/1995,2.039196,16388
19000000,141407024,118,6.5,1729,4/7/1995,9.262184,9737
0,0,81,5,31,8/25/1995,2.375865,30765
0,0,102,7.2,472,4/21/1995,7.415144,10474
4000000,851545,113,6,11,7/21/1995,0.922958,22279
0,0,105,6.5,21,8/5/1994,1.759012,30157
52000000,355237933,140,7.3,1637,6/30/1995,18.761467,568
28000000,31596911,139,6.5,151,4/13/1995,10.193549,11780
0,0,82,6.4,46,1/10/1995,3.137285,34996
100000000,336529144,121,5.2,1529,6/16/1995,13.321354,414
0,0,101,7.3,163,5/24/1967,10.142662,649
0,0,100,6.4,21,5/24/1995,2.04189,1873
2000000,1275000,83,6.8,28,9/15/1995,11.528147,5894
11000000,178104,91,5.9,57,6/8/1995,5.391556,1775
50000000,287928194,100,6,1045,5/26/1995,12.812539,8839
25000000,13071518,128,6.8,69,9/15/1995,4.558992,20649
50000000,152022101,109,5,214,6/9/1995,7.260574,10329
53000000,157387195,116,7,508,5/12/1995,8.657365,8963
0,3174695,119,7.6,71,9/10/1994,3.620388,26564
7000000,25405445,104,6.8,898,8/25/1995,6.950458,8068
27000000,16140822,102,6.3,88,9/15/1995,4.646132,8512
90000000,366101666,128,6.9,2094,5/19/1995,15.138855,1572
0,0,80,5.6,57,10/27/1995,7.120806,13552
0,0,116,0,0,10/12/1995,0.523575,259209
55000000,127600435,134,5.9,319,7/7/1995,15.178338,6520
0,0,95,5.5,130,7/19/1995,7.575098,9073
20000000,7563728,107,6.2,406,9/14/1995,14.810519,10428
0,0,92,6.5,19,8/18/1995,3.196456,17447
25000000,19075720,97,5.5,380,5/26/1995,11.715868,9886
90000000,113493481,96,5.4,643,6/30/1995,8.184815,9482
0,17014653,88,4,34,4/12/1995,3.676921,19326
1500000,7412216,91,6.8,280,7/28/1995,4.877872,9344
500000,1148752,89,7.2,64,1/20/1995,10.058329,9071
0,0,119,5.9,87,8/25/1995,4.102409,8973
0,0,100,7,7,5/20/1993,0.354014,15730
0,15453274,95,5.5,27,5/26/1995,2.624771,47608
6000000,2122561,94,6.8,400,10/20/1995,8.25547,2293
15000000,66000000,92,5.2,153,6/30/1995,7.024227,9070
0,0,100,5.6,10,9/29/1995,1.01115,68274
2,1,95,6.4,36,9/28/1995,2.466066,48787
0,0,93,5.9,12,9/13/1994,7.720056,34574
22000000,110627965,114,5.6,359,7/28/1995,13.304342,1642
0,69660733,103,5.5,171,7/12/1995,8.482834,11472
150000,472370,94,5.8,14,6/9/1995,1.165039,36196
8,16,98,6.4,139,9/1/1995,10.187623,11980
0,0,91,10,1,11/17/1995,0.119713,58372
0,0,119,7.2,62,6/23/1995,8.180047,32646
50000000,10382407,135,5.5,111,10/13/1995,6.752119,10533
0,0,93,5.3,2,8/25/1995,0.159596,56088
45000000,20350754,128,4.9,261,9/22/1995,17.502375,10802
7000000,8349430,112,7.2,115,6/9/1995,5.552946,10149
0,50892160,106,5.7,60,8/4/1995,3.743212,18402
35000000,113374103,108,5.5,457,7/7/1995,13.492845,9348
0,0,109,6.6,6,9/15/1995,0.913522,139408
42000000,7959291,145,6.8,334,10/13/1995,11.223055,281
0,0,91,7.6,119,2/19/1964,8.133881,5967
14000000,5780000,99,4.6,9,9/8/1995,1.820419,79593
0,7025496,115,6.1,18,10/27/1995,11.002046,47939
0,339889,111,6.5,112,11/2/1995,4.546552,36834
0,47774193,105,6.3,117,9/7/1995,7.653446,9090
60000000,104324083,100,5.6,217,7/13/1995,7.490247,3512
0,0,93,6.4,9,9/15/1995,2.881689,52856
0,0,73,6,6,8/11/1995,0.786023,77350
20000000,50012507,103,6.5,168,8/11/1995,9.715639,9560
175000000,264218220,135,5.9,1017,7/28/1995,16.885184,9804
8000000,0,89,5.1,25,12/1/1995,1.834099,31611
30000000,0,98,5.9,27,12/1/1995,8.922139,65796
0,0,97,6,11,10/12/1994,3.727644,49805
0,0,90,4.9,29,8/4/1995,3.287036,26258
2800000,2616503,135,6.7,35,5/1/1994,2.486073,50797
0,763847,113,7.7,45,6/9/1994,3.525649,19155
2500000,5535405,105,7.7,984,1/27/1995,11.304979,76
10000000,26488734,89,6.2,464,2/10/1995,6.638116,11017
0,0,90,4.7,27,10/17/1995,2.761837,37141
21000000,23450000,115,6.3,48,2/3/1995,3.030309,9382
0,0,97,7.2,58,4/21/1995,2.686342,6715
0,0,95,5.8,40,8/4/1995,2.26977,18256
0,0,103,6.5,30,3/16/1995,2.605521,22625
27000,3151130,92,7.4,769,9/13/1994,10.513367,2292
25000000,22200000,97,6.3,184,10/1/1994,7.438934,1909
55000000,214015089,123,5.9,217,12/9/1994,11.812244,8984
0,0,0,2.5,1,1/1/1995,0.155859,61813
45000000,0,101,5.1,91,12/8/1994,9.579155,4954
0,0,0,5.3,9,4/28/1995,0.710671,62488
0,0,103,7.1,92,5/4/1994,5.484156,10531
0,0,132,7.1,183,3/24/1995,5.8025,11929
16000000,247275374,107,6.5,1894,12/16/1994,9.844558,8467
0,7294403,123,7.5,76,8/3/1994,4.860016,10451
0,0,103,6.5,64,9/24/1994,5.378467,20156
0,6841570,113,4.3,28,10/14/1994,4.322726,18395
18000000,5887457,127,7.3,639,9/27/1994,11.720358,522
0,0,111,6.2,179,5/5/1995,9.146544,397
0,0,101,6.1,38,5/19/1995,16.236745,10525
0,0,87,5.6,27,1/13/1995,2.657337,27985
0,35348597,78,6.7,404,4/7/1995,10.177977,15789
15000000,12201255,103,5,24,3/3/1995,8.182165,27303
0,0,96,6.6,48,6/2/1995,4.953936,21183
0,0,111,5.9,20,12/7/1994,8.935058,10954
0,3992809,90,3,4,5/12/1995,0.398924,47867
0,0,77,5,2,12/1/1995,0.090452,43475
0,0,109,5.4,9,9/16/1994,1.012197,72031
700000,7830611,171,7.7,91,9/12/1994,9.47666,14275
5000000,3049135,99,6.9,299,9/2/1994,9.438042,1024
10500000,26325256,113,6,17,1/6/1995,2.688562,17207
120,0,121,6.9,90,12/16/1994,7.983666,13701
0,17689177,100,6,97,2/17/1995,9.546707,14819
0,0,106,6,25,2/24/1995,2.756986,32631
25000000,0,100,5.9,112,12/24/1994,5.146352,11777
60000000,223664608,123,7.2,1558,11/11/1994,11.970205,628
14000000,2474000,139,5.2,10,3/31/1995,1.596058,87729
0,0,82,4.8,10,2/3/1995,0.748846,18713
60000000,37000000,109,4.7,381,11/22/1994,6.710215,6280
0,0,102,6,124,2/17/1995,9.195256,9061
0,0,89,4.3,40,8/11/1995,5.874511,37108
40000000,0,101,5.7,83,4/21/1995,7.797512,6071
11000000,775398007,121,8.1,6778,5/25/1977,42.149697,11
18000000,0,115,7,222,12/21/1994,9.774994,9587
17000000,0,97,7.4,207,5/10/1995,7.731725,19101
0,0,101,7.4,14,2/18/1994,0.84508,49980
10000000,0,100,6.6,22,2/16/1994,1.948315,17961
2000000,21665468,105,6.6,70,4/16/1992,4.126083,18183
30000000,160638883,133,7.2,636,12/16/1994,12.199047,4476
0,0,95,6.1,164,3/24/1995,9.253362,11008
0,0,98,6.4,31,10/27/1994,1.861292,47504
0,0,92,5.7,9,6/8/1994,1.788829,32325
60000000,0,108,4.3,11,10/21/1994,3.290192,43742
17000000,7603766,106,6.4,28,3/17/1995,7.698526,28313
0,0,107,6.7,67,12/28/1994,4.81307,11318
45000000,112006296,123,6.1,272,11/4/1994,14.287753,3036
0,0,96,5.1,40,3/3/1995,2.558118,40490
15000000,0,97,5.2,37,12/21/1994,2.899608,24070
0,18137661,108,5.6,49,8/31/1994,3.770115,8986
0,46264384,114,6.4,199,11/18/1994,5.831622,10510
6,5,95,5.6,7,1/27/1995,1.137266,17402
5500000,0,128,7,11,5/3/1995,3.121288,38722
0,17381942,122,6.9,140,1/20/1995,9.518564,8438
0,0,110,7,56,12/23/1994,2.891269,11593
31000000,106683817,112,6.1,128,12/23/1994,5.930957,1945
0,0,98,6.9,7,4/19/1995,0.629955,39310
0,0,93,0,0,8/14/1993,0.004537,109560
4800000,0,89,4,4,4/22/1994,0.426952,56428
0,0,83,4.6,10,9/26/1995,1.466491,63105
0,0,100,7.4,4,3/3/1995,0.769522,131957
34000000,50282766,119,6.9,927,8/25/1994,11.226856,241
0,0,115,6.4,92,9/17/1994,4.936761,9058
0,2201126,99,7.6,106,9/2/1994,4.025276,527
0,0,106,4.6,32,1/16/1996,6.448039,18220
50000000,189859560,127,6.4,522,3/10/1995,13.676444,6950
16000000,45284974,110,8.2,4293,9/14/1994,20.477329,101
11000000,2832826,113,6.6,9,5/12/1995,1.433544,63020
0,0,94,7,2,4/28/1995,0.463307,2307
8000000,213928762,154,8.3,8670,9/10/1994,140.950236,680
0,6834525,124,6.4,6,11/10/1995,7.160149,41478
400000,152322,105,6.1,9,2/1/1992,1.638622,25296
0,4176932,98,6.4,32,1/1/1994,1.881932,40156
0,0,133,7.1,262,9/16/1994,7.772505,11450
0,0,94,7.4,5,5/5/1995,1.296912,30304
0,0,162,7,67,5/13/1994,4.405405,10452
32000000,18552460,107,6.2,431,2/9/1995,7.54701,12106
22000000,12400000,108,6.4,7,3/1/1995,3.395867,161495
15000000,11300653,133,5.3,33,12/23/1994,6.259433,3586
0,0,99,7.8,246,5/27/1994,7.832755,110
0,0,98,7.7,311,1/10/1993,8.843517,108
0,0,91,7.3,218,1/26/1994,6.5898,109
0,0,111,7,2,10/14/1994,0.078257,159185
0,0,85,5.1,15,1/1/1995,1.155255,36357
0,0,90,4.7,3,10/3/1995,0.499601,92769
0,0,95,5,6,4/12/1995,1.390885,28033
35000000,9771658,89,6.5,251,11/18/1994,8.910462,22586
0,0,97,6.1,15,1/1/1994,1.750481,14334
45000000,170362582,110,5.5,317,10/7/1994,10.388183,2636
55000000,196567262,121,6.8,942,10/27/1994,13.328924,2164
22000000,189833357,97,6.3,501,11/10/1994,9.665424,11395
25000000,28341469,142,8.5,8358,9/23/1994,51.645403,278
0,0,92,7,247,12/22/1994,8.223026,9905
0,102780,96,6,7,9/14/1993,1.298224,87078
0,0,108,7.1,16,1/1/1993,1.777197,12527
0,0,101,6.7,104,9/10/1994,5.869261,20306
32,0,100,6,21,7/12/1994,1.407427,36614
0,0,91,5.7,23,9/8/1995,5.05806,27993
0,0,125,7.7,62,6/30/1994,5.260627,31439
25000000,4064495,98,5.5,140,3/31/1995,7.602087,9067
0,0,92,6.7,96,1/13/1995,9.455342,9059
38000000,120000000,118,6.4,461,11/17/1994,8.105708,193
6000000,12000000,98,5.4,33,5/24/1995,2.86007,25066
0,0,115,5.8,8,4/15/1994,0.704204,46797
0,0,99,5.6,165,4/28/1995,6.529879,12122
0,32648673,97,6.8,321,3/31/1995,11.971318,11381
0,0,119,6.1,15,9/13/1994,7.039846,32636
6500000,0,99,5.6,15,4/28/1995,2.059771,36141
0,0,88,6.6,4,2/24/1995,0.620873,95963
11000000,10032765,118,7.5,943,12/17/1993,10.3919,1587
30000000,24048000,106,5.4,163,8/4/1995,5.188399,9271
17000000,182057016,103,6.5,340,4/21/1995,15.783615,2064
0,0,126,6.3,39,11/4/1994,3.908596,19855
0,759393,87,5.5,2,9/7/1994,0.372239,60855
3000000,15119639,106,6.9,104,9/29/1994,5.254847,236
0,0,94,5.3,23,8/18/1995,2.15805,48287
15000000,107217396,86,6.4,1684,2/4/1994,11.247957,3049
0,11220670,104,7.2,174,5/31/1994,8.328596,2759
0,0,100,6.2,37,4/1/1994,2.487951,12635
5000000,1862805,139,7,115,9/2/1992,11.298195,10497
0,0,98,7,130,10/14/1994,5.72288,11382
62000000,215887717,141,6.4,390,8/3/1994,7.513245,9331
45000000,117615211,119,6.4,287,7/20/1994,15.263829,10731
0,0,115,6.4,83,8/12/1994,6.924689,10464
0,0,115,6.7,31,5/13/1994,2.533022,34152
15000000,94000000,102,7.3,980,5/11/1994,15.799336,9495
0,1007583,128,6.1,29,12/2/1994,2.583363,29973
46000000,341631208,91,5,559,5/26/1994,15.019586,888
55000000,677945399,142,8.2,8147,7/6/1994,48.307194,13
6000000,254700832,117,6.6,654,3/9/1994,8.990345,712
0,38290723,127,6.4,49,1/11/1995,7.817811,16295
0,1777020,104,6.3,4,10/14/1994,0.289295,48992
45000000,61947267,123,5.3,41,6/29/1994,3.570874,10879
0,0,101,6.1,154,7/29/1994,11.272073,10660
0,0,111,5.9,107,12/23/1994,10.714235,10714
0,449707,180,7.3,5,9/11/1993,0.568884,41647
45000000,788241776,89,8,5520,6/23/1994,21.605761,8587
35000000,4858139,140,6,76,12/1/1993,5.681522,1689
14000000,18090181,112,6.4,297,10/13/1994,9.860522,11596
23000000,351583407,101,6.6,2550,7/29/1994,14.13488,854
0,0,127,6.6,490,5/20/1994,15.050326,9359
0,0,125,6.3,20,9/7/1994,4.739054,23333
30000000,51132598,83,6.4,535,3/18/1994,10.587232,36593
6000000,0,112,6.1,40,3/18/1994,4.006063,12280
11500000,20079850,99,6.5,180,2/18/1994,6.514592,2788
8000000,2000000,98,6.4,71,7/8/1993,5.137903,10427
40000000,0,95,5.4,426,12/19/1994,6.595255,11011
0,0,98,4.9,7,12/1/1994,4.931565,49803
45000000,0,111,6.1,214,9/30/1994,10.511241,8987
30000000,350448145,116,6.8,1814,6/9/1994,10.859292,1637
0,0,99,5.5,24,12/16/1994,2.334226,15128
27000000,101646581,99,5.5,288,9/15/1994,8.907074,8831
115000000,378882411,141,6.8,1138,7/14/1994,11.396099,36955
0,50021959,126,6,71,4/29/1994,4.322544,10449
0,0,125,6,221,6/17/1994,14.063845,10395
63000000,25052000,191,6.5,203,6/24/1994,9.277147,12160
0,0,108,4.9,12,1/20/1995,0.912415,40480
0,953,99,6.5,2,12/22/1994,0.406113,52038
0,0,96,6.1,22,9/15/1994,2.504529,29444
10000000,29392418,100,6,31,11/23/1994,3.021526,26352
0,0,91,2,1,9/30/1994,0.054148,39953
0,0,110,5.9,9,1/1/1994,0.934312,41580
45000,0,83,6.5,59,8/6/1965,4.220541,315
7000000,20851521,119,5.9,9,9/28/1994,0.912909,22067
0,0,61,7.1,8,12/10/1993,0.381704,18242
35000000,99423521,102,4.1,330,12/22/1994,13.58449,11667
0,0,92,6.7,13,9/15/1995,2.342756,32502
0,0,97,0,0,12/31/1997,0.251223,267188
0,0,88,6.3,6,5/13/1995,1.108494,28732
0,0,98,3.4,7,1/20/1995,0.268043,75555
0,0,89,7.5,4,10/20/1995,0.142357,42981
0,0,89,10,1,10/24/1995,0.405392,278939
0,0,97,0,0,5/3/1995,0.014925,291731
0,0,92,4,1,11/21/1995,0.302957,226229
0,0,97,0,0,5/3/1996,0.012456,203119
0,0,0,5,1,5/26/1995,0.233376,172923
0,0,115,4,1,3/1/1995,0.0368,316098
26000000,36800000,99,4.5,110,11/29/1994,6.866634,8011
0,0,97,5,2,2/24/1995,0.100685,171857
8000000,8946600,95,7.1,307,12/12/1994,8.497643,2654
0,0,105,7.2,22,2/25/1994,1.888534,18069
0,0,96,6.7,40,3/23/1994,4.38154,19092
0,48919043,94,6.5,537,11/19/1993,17.555909,2758
0,0,84,4.5,4,4/27/1994,0.394194,38129
34000000,32255440,139,7,172,9/17/1993,8.013617,10436
0,0,92,5.8,222,8/5/1994,7.09232,13595
17080000,21011500,107,5.1,42,1/7/1994,1.896273,46094
0,0,105,4.9,58,7/22/1993,12.967239,9409
0,15240435,99,4.6,61,4/22/1994,14.644772,11853
3200000,0,100,6.6,20,7/29/1994,1.632711,16771
40000000,0,122,5,15,5/6/1994,2.783872,46924
0,0,93,5,86,10/15/1993,5.673735,11041
50000000,119208989,104,5.5,445,5/24/1994,11.787784,306
0,0,88,6.6,68,7/29/1994,8.398845,14522
0,16668552,106,6.3,45,1/26/1994,3.00282,26203
0,30156002,121,6,126,7/1/1994,13.155071,178
0,0,108,5.7,41,2/18/1994,6.131056,19819
0,0,101,6.1,28,9/16/1994,4.993829,57834
13000000,428868,87,5.8,102,6/9/1993,6.559693,4722
0,1796389,107,4.5,59,6/18/1993,4.304224,18215
22000000,17287898,121,7.4,447,9/14/1993,6.115628,1607
0,3662459,80,4.9,28,1/7/1994,1.679042,26391
13000000,2570145,90,3.7,10,9/3/1993,1.316741,117553
30000000,36516012,144,7.7,805,11/10/1993,8.698509,6075
0,0,116,4.9,103,6/10/1994,8.605703,11310
0,7355425,107,5.7,25,5/6/1994,2.724621,18658
70000000,255000211,112,6.1,600,5/28/1993,9.830853,9350
0,0,88,4.8,228,7/23/1993,10.722729,9612
40000000,19726050,121,5.4,117,8/19/1994,14.228963,2124
0,0,93,5,36,4/15/1994,7.042878,26261
0,0,102,5.1,38,6/3/1994,4.286279,19176
0,0,108,5.4,9,11/19/1993,2.70097,49299
0,63000000,110,6.3,205,5/7/1993,13.696394,11566
6900000,7993039,102,7.4,588,9/24/1993,6.8652,9571
57000000,159055768,115,6.4,1018,10/8/1993,11.626116,9739
0,0,109,7.1,12,6/3/1994,0.408159,24257
8000000,0,96,4.2,29,5/13/1994,2.970724,34444
0,0,91,5.4,37,10/29/1993,3.555139,26141
0,0,171,7.8,98,9/16/1993,4.875827,10997
0,0,97,3.3,6,4/29/1994,1.344876,50463
0,0,122,6.8,80,10/15/1993,9.284624,10443
0,0,88,5.8,11,10/28/1994,0.985441,20239
0,0,103,6.1,54,4/29/1994,2.969003,16297
0,9488998,126,6.2,22,11/5/1993,1.896869,18551
0,0,101,4.3,3,5/13/1994,0.409427,25440
30000000,11146270,94,5.7,77,10/1/1993,8.468869,9024
42000000,270248367,154,6.6,513,6/30/1993,9.678367,37233
20000000,153698625,112,6,429,7/16/1993,5.990572,1634
0,0,114,7.6,56,8/24/1994,3.970215,13815
44000000,368875760,130,7.2,1240,8/6/1993,10.08937,5503
35000000,18635620,115,5.9,44,12/10/1993,4.653462,35588
0,30,115,5.4,81,2/11/1994,14.214403,2087
30000000,0,109,4.5,43,6/17/1994,2.410545,41579
0,0,83,3.9,5,6/10/1994,0.775898,18620
0,0,94,5.2,11,7/14/1994,5.22583,41006
0,22886222,107,5.6,21,6/4/1993,5.385108,4916
18000000,74189677,97,6.1,237,8/20/1993,7.834351,2019
33000000,0,140,6.4,51,12/24/1993,4.190541,31642
25000000,133752825,86,6.2,463,5/21/1993,13.482371,9255
0,0,95,4.7,12,12/8/1995,2.138959,26271
0,0,99,6.1,83,5/12/1995,5.331753,10612
25000000,0,140,6.7,135,10/19/1993,10.687795,2259
0,0,100,4.6,11,1/1/1994,0.996047,16097
30000000,0,111,7.1,280,3/11/1994,7.550545,11934
40000000,0,115,5.7,18,2/4/1994,1.742974,106143
0,28881266,91,4.7,54,8/12/1994,6.071466,12475
40000000,176997168,128,6.8,392,7/8/1993,12.637158,9386
13000000,65796862,133,7.6,363,12/12/1993,7.405895,7984
0,8880705,110,3.9,5,4/22/1994,0.613335,59930
0,0,118,6.9,75,6/9/1993,14.820883,15765
30000000,0,112,4.6,17,3/30/1994,4.563989,31643
0,12136938,110,6.4,79,10/15/1993,5.538671,6
63000000,920100000,127,7.6,4956,6/11/1993,8.863776,329
9000000,2395231,117,6.5,209,9/1/1993,8.4337,10909
1500000,418961,96,6.1,111,10/1/1993,4.948569,507
0,0,103,6.4,33,8/20/1993,4.375347,34024
0,0,94,6.1,54,7/22/1994,3.645342,29918
85000000,137298489,130,6.1,725,6/18/1993,9.434006,9593
0,0,91,5.1,24,6/4/1993,6.446229,42580
0,0,98,5.7,40,3/11/1994,2.913584,22317
0,1499795,101,6.6,35,9/9/1993,6.516976,1413
22000000,0,111,5.3,86,5/27/1993,5.43085,12121
0,46405336,107,5.9,105,9/29/1993,9.861672,2246
0,24760338,114,6.2,125,8/25/1993,5.997712,10502
13500000,11285588,104,7.1,169,8/18/1993,8.939404,10440
3500000,27900000,97,7.2,179,5/26/1993,5.260924,9516
